,Value,Value,Value
,mean,max,min
DateTime,,,
2023-05-31,23.0,23.0,23.0
2023-06-30,23.0,23.0,23.0
2023-07-31,22.819488817891372,29.0,20.0
2023-08-31,19.339964237818506,28.0,15.0
2023-09-30,18.316710575837412,22.0,15.0
2023-10-31,18.089003810560698,22.5,15.0
2023-11-30,18.93615005683971,21.0,15.0
2023-12-31,19.240316901408452,21.0,18.0
2024-01-31,19.267494751574528,22.0,18.0
2024-02-29,19.157686510926904,23.5,18.0
2024-03-31,19.07941280509374,22.5,18.0
2024-04-30,19.118874773139744,21.0,18.0
2024-05-31,19.242663656884876,21.0,18.0
